,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY
1120,2014-06-17,438.04,448.0899,437.77,443.65,4142300.0,2014,1.0,443.65
1121,2014-06-18,443.67,450.82,440.25,448.68,2683800.0,2014,,448.68
1122,2014-06-19,449.43,449.49,438.06,441.39,2472600.0,2014,,441.39
1123,2014-06-20,441.2,442.88,434.98,440.18,1888900.0,2014,,440.18
1124,2014-06-23,439.36,441.86,435.55,439.52,1524700.0,2014,,439.52
1125,2014-06-24,438.05,449.94,435.5,436.36,2909600.0,2014,,436.36
1126,2014-06-25,435.0,444.76,433.33,444.21,2250300.0,2014,,444.21
1127,2014-06-26,440.79,442.14,436.75,439.61,2033900.0,2014,,439.61
1128,2014-06-27,438.32,443.19,437.4,442.08,2226800.0,2014,,442.08
1129,2014-06-30,442.86,446.868,439.69,440.6,1512700.0,2014,,440.6
1130,2014-07-01,456.23,473.68,455.3,473.1,5427900.0,2014,,473.1
1131,2014-07-02,473.48,475.87,466.04,466.74,2472800.0,2014,,466.74
1132,2014-07-03,470.16,472.62,468.87,472.35,1622800.0,2014,,472.35
1133,2014-07-07,472.1,472.23,460.0,460.62,2613800.0,2014,,460.62
1134,2014-07-08,459.65,461.0,439.281,445.05,3740400.0,2014,,445.05
1135,2014-07-09,446.18,449.34,439.73,443.0,3001600.0,2014,,443.0
1136,2014-07-10,434.392,444.1899,428.2,438.55,3484100.0,2014,,438.55
1137,2014-07-11,441.46,444.13,437.1501,439.96,2031300.0,2014,,439.96
1138,2014-07-14,443.3,455.48,439.0,452.5801,2490500.0,2014,,452.5801
1139,2014-07-15,450.69,451.3699,442.27,449.09,1929400.0,2014,,449.09
1140,2014-07-16,454.07,455.7,443.4,444.44,1919800.0,2014,,444.44
1141,2014-07-17,443.28,448.85,438.29,439.36,1895200.0,2014,,439.36
1142,2014-07-18,440.81,444.3,435.745,444.17,1680100.0,2014,,444.17
1143,2014-07-21,451.69,457.5,447.62,451.9499,4953000.0,2014,0.0,451.9499
1144,2014-07-22,442.98,444.67,425.0614,431.09,8167800.0,2014,,431.09
1145,2014-07-23,430.41,435.41,426.51,427.9,2466800.0,2014,,427.9
1146,2014-07-24,429.47,430.209,419.02,425.38,2660200.0,2014,,425.38
1147,2014-07-25,425.0,428.17,420.4,421.86,1658600.0,2014,,421.86
1148,2014-07-28,422.21,425.91,418.52,424.66,1708700.0,2014,,424.66
1149,2014-07-29,423.21,428.39,423.21,424.28,1326000.0,2014,,424.28
1150,2014-07-30,424.75,435.2899,424.31,434.36,2180500.0,2014,,434.36
1151,2014-07-31,430.26,432.97,421.29,422.72,1974300.0,2014,,422.72
1152,2014-08-01,421.76,427.7264,412.51,425.4,2706800.0,2014,,425.4
1153,2014-08-04,427.2,430.0,420.78,422.7,1526700.0,2014,,422.7
1154,2014-08-05,421.3,428.0,420.31,422.85,1521900.0,2014,,422.85
1155,2014-08-06,421.0,434.9,420.55,430.3,2262200.0,2014,,430.3
1156,2014-08-07,435.3,449.9499,434.55,449.67,3901900.0,2014,,449.67
1157,2014-08-08,450.2,450.97,442.05,445.85,2213600.0,2014,,445.85
1158,2014-08-11,449.22,457.65,448.71,451.54,1892400.0,2014,,451.54
1159,2014-08-12,451.35,453.0,443.41,446.41,1549300.0,2014,,446.41
1160,2014-08-13,448.6,454.215,446.82,451.53,1294700.0,2014,,451.53
1161,2014-08-14,452.21,455.0,448.22,450.87,953800.0,2014,,450.87
1162,2014-08-15,451.49,462.0,448.6,459.09,3148100.0,2014,,459.09
1163,2014-08-18,462.06,469.5,461.25,466.0,1928000.0,2014,,466.0
1164,2014-08-19,467.09,470.4999,462.43,468.15,1556800.0,2014,,468.15
1165,2014-08-20,467.0,473.75,464.541,472.19,1737700.0,2014,,472.19
1166,2014-08-21,471.28,476.15,467.671,472.05,1678100.0,2014,,472.05
